"OldName","FinalName"
"Kontrast_10.jpg","kontrast-festival_gallery_10.jpg"
"Kontrast_11.jpg","kontrast-festival_gallery_11.jpg"
"Kontrast_12.jpg","kontrast-festival_gallery_12.jpg"
"Kontrast_96.jpg","kontrast-festival_gallery_96.jpg"
"Kovon_detailed_evaluation.jpg","kovon_gallery_01_dup01.jpg"
"kovon_gallery_01.jpg","kovon_gallery_02.jpg"
"kovon_gallery_02.png","kovon_gallery_03.png"
"kovon_gallery_03.jpg","kovon_gallery_04_dup01.jpg"
"kovon_gallery_04.jpg","kovon_gallery_05_dup01.jpg"
"kovon_gallery_05.jpg","kovon_gallery_06_dup01.jpg"
"kovon_gallery_06.jpg","kovon_gallery_07_dup01.jpg"
"kovon_gallery_07.jpg","kovon_gallery_08.jpg"
"Kovon_multiassign.png","kovon_gallery_09.png"
"Kovon_Regulation_evaluartioon_dashboard.jpg","kovon_gallery_10.jpg"
"Kovon_regulation_review.jpg","kovon_gallery_11.jpg"
"Kovon_StatusSystem_Bodysystem_dashboard.jpg","kovon_gallery_12.jpg"
"Kovon_Task Board_Regulation_dashboard.jpg","kovon_gallery_13.jpg"
"Kovon_Vehicle_project_dashboard.jpg","kovon_gallery_14.jpg"
"Samani_01.jpg","samani-rebranding_gallery_01.jpg"
"Samani_02.png","samani-rebranding_gallery_02.png"
"Samani_03.png","samani-rebranding_gallery_03.png"
"Samani_04.jpg","samani-rebranding_gallery_04.jpg"
"sap_automation_bot_hero.png","automation_hero.png"
